local_id,longitude,latitude,peso,pontos_cobertos_tipo_0,pontos_cobertos_tipo_1
0,-46.05555257216497,-23.23658482536591,15.9,"[0, 1, 11, 27, 33, 38, 43]","[0, 1, 11, 13, 17, 20, 27, 33, 38, 43]"
1,-46.07733330572392,-23.240941774883837,31.54,"[0, 1, 11, 27, 33, 38]","[0, 1, 11, 27, 33, 38, 43]"
2,-45.96243390969879,-23.348122029005342,47.73,"[2, 9, 10, 14, 15, 25, 29, 48]","[2, 5, 9, 10, 14, 15, 19, 23, 24, 25, 29, 31, 34, 37, 45, 48]"
3,-46.10609230469085,-23.368002311774195,24.8,"[3, 7, 35, 41, 42, 46, 47]","[3, 7, 16, 21, 32, 35, 39, 41, 42, 46, 47]"
4,-45.94462572256491,-23.27256191491849,67.99,"[4, 12, 28]","[4, 8, 12, 28]"
5,-45.98819592992464,-23.31866972974085,84.45,"[5, 14, 24, 37, 40, 45, 49]","[2, 5, 10, 12, 14, 15, 24, 25, 29, 31, 37, 40, 45, 48, 49]"
6,-45.89583064289645,-23.21797956934367,45.36,"[6, 18, 36]","[6, 18, 36]"
7,-46.0924664114412,-23.350132405139032,79.41,"[3, 7, 21, 32, 41, 46, 47]","[3, 7, 16, 21, 32, 35, 39, 41, 42, 46, 47]"
8,-45.94722852342252,-23.240245516176714,73.76,[8],"[4, 8, 18, 28]"
9,-45.955022982627,-23.358440604876506,1.46,"[2, 9, 10, 15, 19, 29, 34, 48]","[2, 9, 10, 14, 15, 19, 23, 24, 25, 29, 31, 34, 48]"
10,-45.967275271947564,-23.348571766895393,19.9,"[2, 9, 10, 14, 15, 25, 29, 48]","[2, 5, 9, 10, 14, 15, 19, 23, 24, 25, 29, 31, 34, 37, 45, 48, 49]"
11,-46.06177278668387,-23.23445326819436,22.38,"[0, 1, 11, 27, 33, 38, 43]","[0, 1, 11, 17, 20, 27, 33, 38, 43]"
12,-45.95829344752313,-23.28621259165831,67.59,"[4, 12, 28]","[4, 5, 12, 14, 24, 28, 31, 37, 49]"
13,-46.01510060393007,-23.253750941531255,64.24,"[13, 17, 20, 26, 30, 43]","[0, 13, 17, 20, 22, 26, 27, 30, 33, 43]"
14,-45.96923422121681,-23.3276607789462,64.53,"[2, 5, 10, 14, 15, 24, 25, 31, 37, 48, 49]","[2, 5, 9, 10, 12, 14, 15, 23, 24, 25, 29, 31, 37, 40, 45, 48, 49]"
15,-45.95720867795305,-23.34829318456845,17.84,"[2, 9, 10, 14, 15, 29, 48]","[2, 5, 9, 10, 14, 15, 19, 23, 24, 25, 29, 31, 34, 37, 45, 48]"
16,-46.12281418538869,-23.341786211910858,6.08,"[16, 21, 35, 39, 42]","[3, 7, 16, 21, 32, 35, 39, 41, 42, 46, 47]"
17,-46.02740090067248,-23.248247995669754,6.49,"[13, 17, 20, 26, 30, 33, 43]","[0, 11, 13, 17, 20, 22, 26, 27, 30, 33, 38, 43]"
18,-45.91851427577635,-23.224068889722798,28.41,"[6, 18, 36]","[6, 8, 18, 36]"
19,-45.95698058512312,-23.377915732345997,88.26,"[9, 19, 29, 34]","[2, 9, 10, 15, 19, 23, 25, 29, 34, 44, 48]"
20,-46.01708299940921,-23.24956504046785,94.35,"[13, 17, 20, 22, 26, 30, 43]","[0, 11, 13, 17, 20, 22, 26, 27, 30, 33, 43]"
21,-46.10443524786046,-23.33485141677789,65.1,"[7, 16, 21, 32, 39]","[3, 7, 16, 21, 32, 35, 39, 41, 42, 46, 47]"
22,-46.00233186436997,-23.22834476865001,77.07,"[20, 22]","[13, 17, 20, 22, 26, 30, 43]"
23,-45.989841505539935,-23.36605912782605,36.2,"[23, 25, 29, 44]","[2, 9, 10, 14, 15, 19, 23, 24, 25, 29, 34, 44, 45, 48]"
24,-45.98203017616462,-23.323633920601935,7.3,"[5, 14, 24, 25, 31, 37, 45, 49]","[2, 5, 9, 10, 12, 14, 15, 23, 24, 25, 29, 31, 37, 40, 45, 48, 49]"
25,-45.98932990889861,-23.347306662502444,98.92,"[2, 10, 14, 23, 24, 25, 29, 45, 48]","[2, 5, 9, 10, 14, 15, 19, 23, 24, 25, 29, 31, 34, 37, 40, 44, 45, 48, 49]"
26,-46.00944381570555,-23.26189588762514,59.72,"[13, 17, 20, 26, 30]","[13, 17, 20, 22, 26, 30, 33, 43]"
27,-46.05332797922464,-23.235532137205894,49.65,"[0, 1, 11, 27, 33, 38, 43]","[0, 1, 11, 13, 17, 20, 27, 30, 33, 38, 43]"
28,-45.937485051207666,-23.281746320777295,93.8,"[4, 12, 28]","[4, 8, 12, 28, 31, 37]"
29,-45.96575921755301,-23.356608290167912,74.24,"[2, 9, 10, 15, 19, 23, 25, 29, 34, 48]","[2, 5, 9, 10, 14, 15, 19, 23, 24, 25, 29, 31, 34, 37, 44, 45, 48]"
30,-46.01245357589891,-23.25990184390106,14.76,"[13, 17, 20, 26, 30, 43]","[13, 17, 20, 22, 26, 27, 30, 33, 43]"
31,-45.955238878786915,-23.31819439340949,69.72,"[14, 24, 31, 37]","[2, 5, 9, 10, 12, 14, 15, 24, 25, 28, 29, 31, 37, 45, 48, 49]"
32,-46.09270866349072,-23.340919975202343,7.72,"[7, 21, 32, 41, 47]","[3, 7, 16, 21, 32, 35, 39, 41, 42, 46, 47]"
33,-46.05452057391013,-23.245302720443387,63.83,"[0, 1, 11, 17, 27, 33, 38, 43]","[0, 1, 11, 13, 17, 20, 26, 27, 30, 33, 38, 43]"
34,-45.9575284051106,-23.377475404408106,81.26,"[9, 19, 29, 34, 48]","[2, 9, 10, 15, 19, 23, 25, 29, 34, 44, 48]"
35,-46.12281418538869,-23.36412146761977,32.18,"[3, 16, 35, 42, 46, 47]","[3, 7, 16, 21, 32, 35, 39, 41, 42, 46, 47]"
36,-45.91579515945036,-23.20207212374724,28.87,"[6, 18, 36]","[6, 18, 36]"
37,-45.96745600448858,-23.314137775150567,1.61,"[5, 14, 24, 31, 37, 49]","[2, 5, 10, 12, 14, 15, 24, 25, 28, 29, 31, 37, 40, 45, 48, 49]"
38,-46.06049246875227,-23.22467206213486,88.66,"[0, 1, 11, 27, 33, 38]","[0, 1, 11, 17, 27, 33, 38, 43]"
39,-46.12281418538869,-23.33006226422762,27.3,"[16, 21, 39]","[3, 7, 16, 21, 32, 35, 39, 42, 47]"
40,-46.012834227341884,-23.3162413407956,27.47,"[5, 40, 45, 49]","[5, 14, 24, 25, 37, 40, 45, 49]"
41,-46.08182286442463,-23.36172788673455,76.83,"[3, 7, 32, 41, 46, 47]","[3, 7, 16, 21, 32, 35, 41, 42, 46, 47]"
