local_id,longitude,latitude,peso,pontos_cobertos_tipo_0,pontos_cobertos_tipo_1
0,-46.015233147334555,-23.27709505896234,91.22,"[0, 20, 59, 99]","[0, 10, 16, 20, 21, 33, 36, 55, 59, 96, 99]"
1,-46.076320472098395,-23.24623454338511,75.26,"[1, 9, 46, 49, 53, 66, 68, 79]","[1, 3, 9, 10, 15, 16, 21, 25, 30, 31, 32, 46, 49, 51, 53, 66, 68, 73, 79, 81, 84, 97]"
2,-45.90728094291375,-23.25112483904266,47.82,"[2, 6, 41, 44, 47, 48, 67, 76, 82, 85, 95]","[2, 6, 12, 19, 23, 37, 39, 41, 44, 45, 47, 48, 50, 56, 67, 76, 78, 82, 85, 95]"
3,-46.11058251966834,-23.21881910535199,5.6,"[3, 8, 15, 25, 27, 30, 32, 38, 42, 51, 52, 54, 75, 79, 81, 84, 97]","[1, 3, 8, 9, 15, 25, 27, 30, 31, 32, 38, 42, 46, 51, 52, 53, 54, 68, 75, 79, 81, 84, 97]"
4,-46.06096739570209,-23.31623918901013,19.92,"[4, 7, 11, 26, 36, 80, 87, 88, 96]","[4, 7, 11, 16, 20, 22, 26, 34, 36, 40, 55, 71, 72, 73, 80, 87, 88, 96, 98]"
5,-45.948340713542756,-23.314207012101757,47.43,"[5, 13, 60, 61, 83, 86, 89, 90, 93, 94]","[5, 12, 13, 23, 24, 33, 50, 56, 57, 60, 61, 69, 83, 86, 89, 90, 92, 93, 94]"
6,-45.88985052756618,-23.261917289315214,48.52,"[2, 6, 19, 39, 41, 44, 47, 76, 82, 85, 95]","[2, 6, 12, 19, 23, 39, 41, 44, 45, 47, 48, 56, 67, 76, 78, 82, 85, 95]"
7,-46.06454987698345,-23.329989845446534,6.6,"[4, 7, 11, 26, 34, 40, 71, 72, 80, 87, 88]","[4, 7, 11, 22, 26, 34, 36, 40, 71, 72, 80, 87, 88, 96, 98]"
8,-46.10130522668387,-23.20207212374724,65.16,"[3, 8, 15, 27, 30, 32, 38, 42, 52, 54, 75, 81, 84]","[3, 8, 9, 15, 25, 27, 30, 32, 38, 42, 51, 52, 54, 75, 79, 81, 84, 97]"
9,-46.09555847451562,-23.242103400406762,92.72,"[1, 9, 25, 31, 46, 51, 53, 68, 79, 81, 97]","[1, 3, 8, 9, 15, 16, 21, 25, 30, 31, 32, 38, 42, 46, 49, 51, 52, 53, 54, 66, 68, 73, 75, 79, 81, 84, 97]"
10,-46.03141474762767,-23.23780880943069,62.4,"[10, 49]","[0, 1, 10, 16, 21, 49, 53, 59, 66, 99]"
11,-46.04217232091377,-23.320822629993494,21.72,"[4, 7, 11, 26, 36, 88, 96]","[4, 7, 11, 20, 26, 34, 36, 40, 55, 72, 80, 87, 88, 96]"
12,-45.916911222092494,-23.28991471363745,95.01,"[12, 23, 24, 45, 50, 56, 61, 76, 78, 92]","[2, 5, 6, 12, 19, 23, 24, 29, 39, 45, 47, 50, 56, 57, 61, 67, 74, 76, 78, 82, 83, 86, 89, 92, 93, 94, 95]"
13,-45.96748322553228,-23.298293273281285,94.97,"[5, 13, 33, 86, 89, 93]","[5, 13, 23, 33, 50, 60, 86, 89, 93, 94]"
14,-45.82698536404925,-23.275614899526865,72.32,"[14, 58, 77]","[14, 19, 58, 77]"
15,-46.096243069616115,-23.21298811418653,79.27,"[3, 8, 15, 27, 30, 32, 38, 42, 52, 54, 75, 79, 81, 84, 97]","[1, 3, 8, 9, 15, 25, 27, 30, 32, 38, 42, 46, 51, 52, 53, 54, 68, 75, 79, 81, 84, 97]"
16,-46.059460053777826,-23.271369373391845,67.14,"[16, 21, 55, 66, 73]","[0, 1, 4, 9, 10, 16, 20, 21, 26, 31, 36, 46, 49, 53, 55, 66, 68, 73, 96]"
17,-45.81883894955156,-23.35350743412576,74.35,"[17, 35, 62, 63, 64, 70, 91]","[17, 35, 62, 63, 64, 70, 91]"
18,-45.95537443905288,-23.20207212374724,43.16,[18],"[18, 37]"
19,-45.87306633377458,-23.275854118124258,53.2,"[6, 19, 39, 76, 78]","[2, 6, 12, 14, 19, 39, 41, 44, 45, 47, 56, 58, 76, 77, 78, 82, 85, 92, 95]"
20,-46.02414998795837,-23.29415876620984,39.97,"[0, 20, 36, 55, 59, 96]","[0, 4, 11, 16, 20, 21, 26, 36, 55, 59, 73, 88, 96, 99]"
21,-46.05485194511315,-23.264864784458783,24.76,"[16, 21, 49, 53, 55, 66, 73]","[0, 1, 9, 10, 16, 20, 21, 46, 49, 53, 55, 59, 66, 68, 73, 79, 96]"
22,-46.09682621029357,-23.34574130832205,60.26,"[22, 34, 40, 43, 71, 72, 98]","[4, 7, 22, 34, 40, 43, 65, 71, 72, 80, 87, 98]"
23,-45.92404893076181,-23.28355910796181,86.2,"[12, 23, 45, 50, 56, 76]","[2, 5, 6, 12, 13, 23, 24, 29, 39, 45, 47, 50, 56, 57, 61, 67, 76, 78, 82, 83, 86, 89, 92, 93, 94, 95]"
24,-45.910844487328106,-23.310281645059312,3.16,"[12, 24, 29, 45, 56, 57, 61, 74, 83, 92, 94]","[5, 12, 23, 24, 28, 29, 39, 45, 50, 56, 57, 60, 61, 69, 74, 76, 78, 83, 89, 90, 92, 93, 94]"
25,-46.11769429400763,-23.237098725687485,65.34,"[3, 9, 25, 42, 46, 51, 81, 97]","[1, 3, 8, 9, 15, 25, 27, 30, 31, 32, 38, 42, 46, 51, 52, 53, 54, 68, 75, 79, 81, 84, 97]"
26,-46.05802511474899,-23.311139778416656,51.59,"[4, 7, 11, 26, 36, 55, 80, 87, 88, 96]","[4, 7, 11, 16, 20, 26, 34, 36, 40, 55, 71, 73, 80, 87, 88, 96]"
27,-46.12281418538869,-23.20207212374724,0.41,"[3, 8, 15, 27, 38, 42, 52, 54, 75, 81, 84]","[3, 8, 15, 25, 27, 30, 32, 38, 42, 51, 52, 54, 75, 81, 84, 97]"
28,-45.88291459929638,-23.341388758597994,21.67,"[28, 29, 74]","[24, 28, 29, 57, 64, 69, 74, 83, 92]"
29,-45.897525809080044,-23.319781545764062,13.58,"[24, 28, 29, 45, 57, 61, 74, 92]","[12, 23, 24, 28, 29, 39, 45, 50, 56, 57, 61, 69, 74, 78, 83, 89, 90, 92, 94]"
30,-46.08516346507523,-23.212708306712123,61.58,"[3, 8, 15, 30, 32, 38, 42, 52, 54, 79, 81, 84]","[1, 3, 8, 9, 15, 25, 27, 30, 32, 38, 42, 46, 51, 52, 53, 54, 68, 75, 79, 81, 84, 97]"
31,-46.10524208933473,-23.262524822075616,50.6,"[9, 31, 46, 51, 68]","[1, 3, 9, 16, 25, 31, 46, 51, 53, 66, 68, 73, 79, 81, 97]"
32,-46.093123543590124,-23.20895660346721,63.56,"[3, 8, 15, 30, 32, 38, 42, 52, 54, 75, 79, 81, 84]","[1, 3, 8, 9, 15, 25, 27, 30, 32, 38, 42, 46, 51, 52, 53, 54, 68, 75, 79, 81, 84, 97]"
33,-45.974162045624624,-23.282043327556774,24.51,"[13, 33, 86]","[0, 5, 13, 33, 50, 59, 86, 89, 93, 99]"
34,-46.08460721450204,-23.33276061951671,64.66,"[7, 22, 34, 40, 71, 72, 80, 87, 98]","[4, 7, 11, 22, 26, 34, 40, 43, 71, 72, 80, 87, 88, 98]"
35,-45.82503314610189,-23.379702281975476,69.23,"[17, 35, 62, 70, 91]","[17, 35, 62, 63, 64, 70, 91]"
36,-46.0357848558542,-23.308695586028936,28.01,"[4, 11, 20, 26, 36, 55, 88, 96]","[0, 4, 7, 11, 16, 20, 26, 36, 55, 59, 80, 87, 88, 96]"
37,-45.94253350985645,-23.226900702077092,87.08,[37],"[2, 18, 37, 47, 48, 67]"
38,-46.109052139965875,-23.20207212374724,9.4,"[3, 8, 15, 27, 30, 32, 38, 42, 52, 54, 75, 81, 84]","[3, 8, 9, 15, 25, 27, 30, 32, 38, 42, 51, 52, 54, 75, 79, 81, 84, 97]"
39,-45.88238082856985,-23.279523466364918,2.14,"[6, 19, 39, 45, 76, 78, 95]","[2, 6, 12, 19, 23, 24, 29, 39, 41, 44, 45, 47, 56, 58, 76, 78, 82, 85, 92, 95]"
40,-46.07093688786349,-23.35090425772533,75.86,"[7, 22, 34, 40, 72, 98]","[4, 7, 11, 22, 26, 34, 40, 71, 72, 80, 87, 88, 98]"
41,-45.89194141869186,-23.235466665615554,82.7,"[2, 6, 41, 44, 47, 48, 67, 82, 85, 95]","[2, 6, 19, 39, 41, 44, 47, 48, 67, 76, 82, 85, 95]"
42,-46.1144902001175,-23.213540277883055,80.2,"[3, 8, 15, 25, 27, 30, 32, 38, 42, 52, 54, 75, 81, 84, 97]","[3, 8, 9, 15, 25, 27, 30, 32, 38, 42, 46, 51, 52, 54, 75, 79, 81, 84, 97]"
43,-46.12281418538869,-23.33955739787342,95.32,"[22, 43, 65]","[22, 34, 43, 65, 71, 80, 87, 98]"
44,-45.894402837089324,-23.238941524378262,27.56,"[2, 6, 41, 44, 47, 48, 67, 82, 85, 95]","[2, 6, 19, 39, 41, 44, 47, 48, 67, 76, 82, 85, 95]"
45,-45.90471375056834,-23.29366200501073,58.51,"[12, 23, 24, 29, 39, 45, 50, 56, 61, 76, 78, 92]","[2, 6, 12, 19, 23, 24, 29, 39, 45, 47, 50, 56, 57, 61, 74, 76, 78, 82, 83, 89, 92, 93, 94, 95]"
46,-46.099856914354284,-23.248275139571174,40.22,"[1, 9, 25, 31, 46, 51, 53, 68, 79, 97]","[1, 3, 9, 15, 16, 21, 25, 30, 31, 32, 42, 46, 51, 53, 66, 68, 73, 79, 81, 84, 97]"
47,-45.91053075436603,-23.25498296621994,99.65,"[2, 6, 41, 44, 47, 48, 67, 76, 82, 95]","[2, 6, 12, 19, 23, 37, 39, 41, 44, 45, 47, 48, 50, 56, 67, 76, 78, 82, 85, 95]"
48,-45.903399899479545,-23.229266365232167,8.8,"[2, 41, 44, 47, 48, 67, 82, 85]","[2, 6, 37, 41, 44, 47, 48, 67, 76, 82, 85, 95]"
49,-46.05034985272889,-23.244695692504134,68.19,"[1, 10, 21, 49, 53, 66]","[1, 9, 10, 16, 21, 49, 53, 55, 66, 68, 73, 79]"
50,-45.9312952298671,-23.287770441434105,35.26,"[12, 23, 45, 50, 56, 61, 89, 93, 94]","[2, 5, 12, 13, 23, 24, 29, 33, 45, 47, 50, 56, 57, 61, 67, 76, 78, 82, 83, 86, 89, 90, 92, 93, 94, 95]"
51,-46.111239116187015,-23.240740098401183,33.19,"[3, 9, 25, 31, 46, 51, 68, 79, 81, 97]","[1, 3, 8, 9, 15, 25, 27, 30, 31, 32, 38, 42, 46, 51, 52, 53, 54, 66, 68, 75, 79, 81, 84, 97]"
52,-46.0990342074807,-23.20207212374724,20.6,"[3, 8, 15, 27, 30, 32, 38, 42, 52, 54, 75, 81, 84]","[3, 8, 9, 15, 25, 27, 30, 32, 38, 42, 51, 52, 54, 75, 79, 81, 84, 97]"
53,-46.074974499401115,-23.24816057603335,84.73,"[1, 9, 21, 46, 49, 53, 66, 68, 79]","[1, 3, 9, 10, 15, 16, 21, 25, 30, 31, 32, 46, 49, 51, 53, 55, 66, 68, 73, 79, 81, 84, 97]"
54,-46.09475670385865,-23.20207212374724,18.24,"[3, 8, 15, 27, 30, 32, 38, 42, 52, 54, 75, 81, 84]","[3, 8, 9, 15, 25, 27, 30, 32, 38, 42, 51, 52, 54, 75, 79, 81, 84, 97]"
55,-46.05034903473165,-23.28593021193019,13.77,"[16, 20, 21, 26, 36, 55, 73, 96]","[0, 4, 11, 16, 20, 21, 26, 36, 49, 53, 55, 59, 66, 73, 87, 88, 96]"
56,-45.91515857284677,-23.284817778547097,33.6,"[12, 23, 24, 45, 50, 56, 76, 78]","[2, 5, 6, 12, 19, 23, 24, 29, 39, 45, 47, 50, 56, 57, 61, 67, 74, 76, 78, 82, 83, 86, 89, 92, 93, 94, 95]"
57,-45.91002998556855,-23.322659439717516,32.58,"[24, 29, 57, 61, 69, 74, 83, 90, 92]","[5, 12, 23, 24, 28, 29, 45, 50, 56, 57, 60, 61, 69, 74, 78, 83, 89, 90, 92, 93, 94]"
58,-45.843000983476905,-23.278811048557824,12.57,"[14, 58, 77]","[14, 19, 39, 58, 77, 78]"
59,-46.009032986457925,-23.273434423884762,16.05,"[0, 20, 59, 99]","[0, 10, 20, 21, 33, 36, 55, 59, 96, 99]"
60,-45.9448065290739,-23.33241107942469,58.65,"[5, 60, 69, 83, 89, 90, 94]","[5, 13, 24, 57, 60, 61, 69, 74, 83, 86, 89, 90, 93, 94]"
61,-45.92086021192039,-23.31227181460624,45.18,"[5, 12, 24, 29, 45, 50, 57, 61, 74, 83, 89, 90, 92, 94]","[5, 12, 23, 24, 29, 45, 50, 56, 57, 60, 61, 69, 74, 76, 78, 83, 86, 89, 90, 92, 93, 94]"
