local_id,longitude,latitude,peso,pontos_cobertos_tipo_0,pontos_cobertos_tipo_1
0,-45.81883894955156,-23.310314182942825,61.52,"[0, 40, 96, 101, 109, 112, 115, 166, 168, 215, 281, 308, 326, 327, 351, 452, 468]","[0, 8, 37, 40, 48, 66, 67, 95, 96, 101, 109, 112, 115, 128, 132, 134, 136, 139, 157, 166, 168, 199, 215, 281, 290, 308, 326, 327, 338, 351, 376, 398, 410, 422, 423, 435, 452, 462, 468]"
1,-45.81883894955156,-23.25408572256205,30.64,"[1, 37, 66, 110, 128, 134, 136, 309, 329, 358, 364, 376, 403, 462]","[1, 11, 37, 48, 66, 109, 110, 112, 119, 127, 128, 134, 136, 139, 153, 157, 200, 245, 268, 301, 302, 308, 309, 326, 327, 329, 338, 358, 364, 376, 381, 403, 410, 452, 462, 497]"
2,-45.93745047488742,-23.20207212374724,32.03,"[2, 4, 53, 97, 156, 212, 319, 323, 340, 352, 354, 399, 412, 414, 429, 436]","[2, 4, 53, 97, 111, 150, 156, 196, 212, 217, 241, 263, 267, 314, 319, 323, 340, 352, 354, 399, 412, 414, 429, 436, 444, 453, 465, 471, 473, 490, 492]"
3,-45.88598207847146,-23.20207212374724,40.62,"[3, 17, 108, 111, 275, 401, 408, 414, 486, 492]","[3, 17, 108, 111, 156, 232, 244, 254, 275, 319, 354, 362, 381, 401, 408, 414, 459, 473, 486, 492]"
4,-45.95194527879958,-23.20207212374724,61.07,"[2, 4, 53, 97, 150, 196, 212, 217, 241, 263, 314, 319, 340, 352, 399, 412, 429, 436, 465]","[2, 4, 53, 91, 97, 113, 123, 150, 156, 196, 212, 217, 241, 262, 263, 267, 297, 314, 319, 323, 340, 352, 354, 399, 412, 414, 416, 429, 430, 436, 444, 453, 465, 471, 490]"
5,-46.07558190787721,-23.35106822961186,65.37,"[5, 7, 45, 70, 121, 148, 174, 238, 240, 255, 318, 333, 379, 433, 439, 446, 458, 488, 498]","[5, 7, 45, 70, 71, 103, 121, 125, 126, 148, 154, 160, 174, 176, 189, 190, 205, 222, 228, 234, 238, 240, 255, 271, 311, 317, 318, 333, 337, 342, 348, 379, 406, 433, 438, 439, 446, 458, 483, 485, 488, 498]"
6,-46.06062847609513,-23.27606032643615,60.43,"[6, 84, 158, 170, 208, 221, 226, 285, 296, 324, 387, 394, 431, 434, 461]","[6, 12, 33, 39, 44, 71, 81, 84, 89, 147, 152, 158, 170, 171, 194, 203, 207, 208, 221, 226, 228, 234, 243, 260, 285, 296, 321, 324, 328, 374, 377, 387, 388, 389, 394, 406, 428, 431, 434, 455, 461, 477, 481, 483, 499]"
7,-46.07748179826471,-23.34805096372174,36.69,"[5, 7, 45, 70, 121, 148, 174, 238, 240, 255, 318, 333, 342, 379, 433, 439, 446, 458, 488, 498]","[5, 7, 45, 70, 71, 103, 121, 125, 126, 148, 154, 160, 165, 174, 176, 189, 190, 205, 222, 228, 234, 238, 240, 255, 260, 271, 311, 317, 318, 333, 337, 342, 348, 356, 379, 406, 433, 438, 439, 446, 458, 483, 485, 488, 498]"
8,-45.86180035828627,-23.296006076835685,91.78,"[8, 20, 31, 34, 40, 48, 67, 115, 155, 166, 186, 193, 233, 338, 384, 398, 410, 469, 496]","[0, 8, 20, 31, 34, 40, 48, 60, 67, 79, 101, 109, 112, 115, 116, 117, 128, 132, 136, 139, 153, 155, 157, 163, 166, 168, 186, 193, 199, 201, 215, 233, 249, 261, 268, 272, 281, 301, 302, 308, 326, 327, 329, 338, 371, 384, 392, 398, 410, 452, 456, 469, 479, 496, 497]"
9,-46.00814722868254,-23.20207212374724,89.8,"[9, 41, 91, 113, 124, 246, 279, 282, 332, 339, 345, 346, 425, 430, 490]","[9, 27, 29, 41, 53, 91, 98, 113, 123, 124, 145, 150, 196, 241, 242, 246, 263, 279, 282, 297, 314, 332, 335, 339, 345, 346, 425, 430, 441, 463, 465, 471, 487, 489, 490]"
