local_id,longitude,latitude,peso,pontos_cobertos_tipo_0,pontos_cobertos_tipo_1
0,-45.97920040634959,-23.38106501104805,50.01,"[0, 45, 48, 101, 126, 134, 136, 143, 164, 166, 202, 302, 308, 323, 337, 370, 379, 401, 425, 439, 513, 541, 549, 613, 616, 649, 671, 831, 890, 1009, 1097, 1118, 1215, 1315, 1365, 1439, 1446]","[0, 44, 45, 48, 58, 101, 102, 126, 134, 136, 143, 153, 158, 164, 166, 202, 210, 227, 302, 308, 323, 328, 337, 370, 377, 379, 401, 418, 425, 439, 505, 513, 541, 545, 549, 613, 616, 645, 648, 649, 653, 671, 672, 678, 680, 711, 769, 831, 848, 871, 890, 969, 978, 990, 1009, 1014, 1058, 1097, 1118, 1182, 1188, 1215, 1276, 1315, 1334, 1365, 1406, 1439, 1446]"
1,-46.044739351048,-23.270660070917458,12.51,"[1, 38, 51, 56, 70, 74, 165, 175, 182, 238, 278, 285, 303, 335, 371, 460, 516, 583, 618, 620, 675, 694, 700, 736, 759, 807, 834, 836, 997, 1039, 1059, 1071, 1091, 1133, 1164, 1179, 1185, 1195, 1196, 1199, 1226, 1227, 1231, 1233, 1239, 1256, 1269, 1272, 1291, 1316, 1331, 1348, 1367, 1388, 1399, 1483]","[1, 16, 34, 38, 41, 51, 56, 65, 70, 74, 78, 79, 82, 94, 104, 119, 162, 165, 169, 175, 182, 218, 219, 220, 238, 246, 278, 285, 292, 295, 298, 303, 335, 360, 371, 372, 376, 378, 386, 393, 426, 429, 434, 449, 458, 460, 468, 472, 480, 503, 516, 525, 580, 583, 588, 601, 606, 618, 620, 675, 694, 700, 702, 704, 717, 736, 759, 772, 776, 788, 802, 807, 814, 825, 834, 836, 839, 843, 853, 856, 861, 881, 896, 907, 942, 943, 947, 952, 960, 965, 971, 997, 1011, 1039, 1055, 1059, 1063, 1071, 1075, 1082, 1091, 1102, 1114, 1117, 1133, 1153, 1164, 1179, 1185, 1193, 1195, 1196, 1199, 1222, 1226, 1227, 1231, 1233, 1234, 1239, 1256, 1260, 1269, 1272, 1286, 1291, 1316, 1324, 1331, 1335, 1337, 1348, 1361, 1363, 1364, 1367, 1388, 1391, 1399, 1411, 1412, 1415, 1433, 1462, 1469, 1482, 1483, 1489]"
2,-45.92456415061805,-23.367975612105457,53.99,"[2, 44, 57, 124, 127, 131, 158, 204, 381, 478, 494, 499, 505, 599, 645, 648, 653, 678, 749, 763, 1244, 1334, 1407]","[2, 29, 37, 44, 57, 85, 100, 108, 113, 116, 124, 126, 127, 131, 143, 154, 158, 164, 176, 192, 204, 264, 276, 287, 314, 315, 342, 375, 377, 381, 443, 462, 478, 487, 494, 496, 499, 505, 507, 515, 524, 526, 548, 591, 599, 612, 645, 648, 649, 651, 653, 672, 678, 680, 690, 711, 734, 749, 763, 787, 796, 811, 848, 851, 871, 904, 926, 961, 964, 969, 977, 978, 998, 1005, 1014, 1019, 1021, 1053, 1068, 1128, 1136, 1174, 1176, 1188, 1206, 1208, 1238, 1244, 1267, 1288, 1300, 1318, 1334, 1343, 1347, 1376, 1385, 1390, 1401, 1407, 1420, 1427, 1429, 1491]"
3,-46.09719959554397,-23.382850845998306,15.79,"[3, 15, 47, 64, 95, 106, 121, 122, 207, 224, 338, 368, 373, 403, 409, 413, 416, 467, 495, 522, 523, 594, 629, 642, 712, 739, 757, 761, 773, 789, 800, 809, 852, 928, 929, 940, 999, 1040, 1051, 1090, 1096, 1127, 1259, 1265, 1305, 1321, 1323, 1341, 1359, 1499]","[3, 15, 31, 47, 64, 95, 106, 112, 118, 121, 122, 160, 173, 174, 190, 203, 207, 224, 231, 294, 304, 338, 359, 366, 368, 373, 400, 403, 409, 413, 416, 461, 467, 495, 522, 523, 553, 555, 563, 566, 578, 594, 629, 642, 682, 692, 712, 739, 740, 752, 757, 761, 771, 773, 789, 795, 799, 800, 809, 837, 852, 875, 928, 929, 940, 955, 991, 993, 999, 1004, 1029, 1038, 1040, 1051, 1090, 1096, 1108, 1126, 1127, 1155, 1168, 1181, 1200, 1207, 1209, 1216, 1235, 1237, 1249, 1253, 1259, 1265, 1275, 1281, 1298, 1305, 1321, 1323, 1341, 1345, 1358, 1359, 1362, 1398, 1432, 1459, 1477, 1484, 1495, 1499]"
4,-45.82383543719383,-23.3958489143977,29.55,"[4, 11, 24, 39, 54, 68, 128, 139, 171, 178, 179, 180, 188, 214, 223, 242, 255, 290, 299, 320, 341, 343, 346, 356, 361, 396, 448, 469, 470, 483, 497, 508, 535, 570, 574, 586, 600, 619, 639, 647, 728, 754, 758, 829, 889, 898, 930, 932, 935, 968, 992, 1050, 1054, 1089, 1092, 1115, 1123, 1169, 1204, 1271, 1273, 1280, 1292, 1355, 1408, 1419, 1434, 1454, 1464, 1466, 1473]","[4, 11, 24, 39, 54, 59, 62, 68, 128, 139, 171, 178, 179, 180, 188, 189, 214, 223, 235, 242, 255, 258, 263, 273, 290, 299, 318, 320, 325, 341, 343, 346, 356, 361, 364, 396, 420, 424, 448, 469, 470, 483, 497, 508, 535, 570, 574, 586, 600, 619, 634, 639, 640, 647, 660, 662, 706, 714, 728, 743, 746, 754, 758, 797, 808, 818, 829, 833, 889, 898, 903, 917, 920, 930, 932, 935, 968, 992, 1026, 1050, 1054, 1069, 1076, 1084, 1089, 1092, 1115, 1123, 1144, 1169, 1204, 1248, 1264, 1271, 1273, 1280, 1292, 1328, 1349, 1352, 1355, 1394, 1408, 1419, 1425, 1426, 1434, 1454, 1455, 1457, 1464, 1466, 1473]"
5,-46.12281418538869,-23.306117909709638,4.67,"[5, 28, 42, 52, 69, 96, 142, 170, 177, 185, 186, 196, 213, 228, 230, 232, 233, 234, 257, 262, 300, 317, 319, 327, 333, 334, 339, 363, 367, 380, 415, 463, 474, 491, 512, 536, 587, 598, 605, 615, 625, 641, 654, 667, 674, 684, 721, 722, 735, 737, 744, 745, 747, 748, 784, 793, 803, 805, 815, 823, 850, 859, 862, 874, 908, 910, 919, 967, 1030, 1042, 1074, 1078, 1093, 1103, 1139, 1141, 1156, 1167, 1173, 1178, 1250, 1290, 1314, 1317, 1322, 1333, 1372, 1378, 1383, 1387, 1404, 1428, 1458, 1468, 1480, 1488]","[5, 10, 22, 28, 33, 42, 49, 52, 69, 75, 96, 105, 119, 141, 142, 150, 160, 163, 167, 170, 177, 185, 186, 196, 200, 213, 216, 219, 228, 230, 232, 233, 234, 257, 262, 265, 281, 289, 300, 301, 304, 312, 317, 319, 327, 333, 334, 336, 339, 345, 349, 360, 363, 365, 366, 367, 380, 384, 400, 402, 415, 440, 453, 461, 463, 474, 477, 486, 491, 512, 533, 536, 557, 578, 587, 588, 598, 602, 605, 615, 625, 627, 637, 641, 650, 654, 667, 673, 674, 684, 709, 721, 722, 732, 735, 737, 744, 745, 747, 748, 774, 784, 793, 803, 805, 815, 823, 850, 859, 862, 874, 875, 880, 881, 895, 897, 908, 910, 919, 924, 931, 954, 967, 971, 975, 979, 985, 1030, 1042, 1043, 1074, 1077, 1078, 1093, 1103, 1126, 1130, 1138, 1139, 1141, 1148, 1156, 1167, 1173, 1178, 1181, 1197, 1207, 1214, 1219, 1250, 1253, 1254, 1279, 1286, 1290, 1303, 1314, 1317, 1322, 1333, 1345, 1353, 1354, 1366, 1372, 1378, 1383, 1384, 1387, 1400, 1404, 1411, 1428, 1458, 1468, 1480, 1484, 1488, 1490]"
6,-45.940948193631684,-23.257632077434874,37.22,"[6, 77, 80, 144, 152, 193, 211, 247, 269, 277, 344, 347, 369, 374, 422, 455, 579, 622, 689, 724, 742, 753, 840, 858, 902, 911, 941, 983, 987, 1007, 1057, 1088, 1104, 1137, 1284, 1438, 1453, 1494]","[6, 12, 50, 66, 67, 72, 76, 77, 80, 81, 86, 130, 144, 152, 193, 197, 211, 221, 247, 256, 266, 267, 269, 270, 277, 280, 311, 322, 344, 347, 369, 374, 422, 433, 447, 455, 456, 466, 481, 482, 484, 511, 518, 527, 529, 532, 543, 550, 559, 577, 579, 581, 589, 596, 609, 622, 635, 659, 661, 679, 687, 689, 705, 724, 727, 742, 753, 760, 762, 770, 777, 804, 812, 822, 840, 855, 858, 872, 901, 902, 911, 939, 941, 973, 983, 986, 987, 1000, 1007, 1027, 1045, 1057, 1073, 1079, 1086, 1088, 1094, 1104, 1119, 1122, 1137, 1147, 1149, 1152, 1171, 1186, 1202, 1217, 1284, 1285, 1326, 1327, 1370, 1423, 1438, 1453, 1474, 1475, 1476, 1494]"
7,-45.88175655094814,-23.3037703358981,87.2,"[7, 43, 55, 89, 97, 103, 111, 115, 120, 159, 183, 217, 222, 226, 245, 248, 272, 275, 291, 293, 326, 340, 355, 388, 391, 406, 442, 444, 452, 464, 482, 514, 540, 569, 571, 593, 597, 604, 668, 685, 693, 701, 778, 913, 921, 927, 970, 972, 976, 982, 984, 995, 1017, 1018, 1036, 1037, 1048, 1062, 1107, 1112, 1159, 1165, 1194, 1221, 1258, 1262, 1266, 1270, 1282, 1295, 1301, 1306, 1309, 1330, 1342, 1392, 1413, 1418, 1436, 1442, 1448, 1465]","[7, 13, 37, 43, 55, 60, 76, 81, 89, 97, 98, 103, 108, 111, 115, 120, 129, 130, 159, 172, 183, 197, 205, 215, 217, 221, 222, 226, 240, 245, 248, 259, 261, 267, 270, 272, 275, 280, 286, 291, 293, 326, 340, 350, 351, 355, 358, 382, 388, 391, 392, 406, 414, 430, 431, 436, 441, 442, 444, 451, 452, 456, 462, 464, 481, 482, 496, 498, 501, 507, 510, 511, 514, 515, 519, 540, 554, 561, 569, 571, 585, 589, 593, 597, 604, 611, 633, 657, 659, 668, 685, 687, 693, 698, 701, 723, 725, 755, 756, 767, 770, 778, 779, 782, 787, 822, 830, 842, 846, 872, 888, 905, 913, 921, 927, 936, 941, 964, 970, 972, 976, 977, 982, 984, 995, 998, 1005, 1006, 1010, 1017, 1018, 1036, 1037, 1048, 1060, 1062, 1066, 1070, 1081, 1101, 1107, 1112, 1119, 1120, 1136, 1140, 1142, 1143, 1147, 1159, 1161, 1165, 1194, 1208, 1210, 1218, 1221, 1258, 1262, 1266, 1270, 1274, 1282, 1285, 1295, 1301, 1306, 1309, 1312, 1330, 1342, 1381, 1392, 1403, 1413, 1417, 1418, 1436, 1442, 1444, 1448, 1465, 1467, 1472, 1491, 1496]"
8,-45.97182358805204,-23.32846438348957,68.77,"[8, 99, 133, 264, 287, 316, 328, 432, 548, 643, 651, 680, 703, 769, 854, 871, 892, 1061, 1065, 1175, 1261, 1299, 1360, 1389, 1390, 1447, 1498]","[8, 18, 19, 45, 67, 72, 93, 99, 116, 133, 199, 256, 264, 282, 287, 316, 328, 383, 401, 432, 487, 499, 502, 524, 532, 548, 573, 591, 603, 643, 645, 649, 651, 665, 680, 703, 734, 738, 766, 769, 796, 812, 832, 854, 871, 885, 892, 901, 969, 988, 1019, 1020, 1031, 1061, 1065, 1079, 1162, 1175, 1188, 1230, 1261, 1276, 1278, 1288, 1299, 1300, 1360, 1379, 1389, 1390, 1393, 1420, 1427, 1447, 1475, 1498]"
9,-45.81883894955156,-23.26374847626942,46.7,"[9, 30, 32, 36, 84, 138, 146, 268, 274, 307, 332, 362, 385, 419, 476, 489, 544, 556, 565, 582, 610, 626, 630, 646, 670, 683, 686, 716, 719, 828, 835, 876, 900, 912, 934, 959, 989, 1002, 1012, 1034, 1035, 1046, 1049, 1085, 1095, 1145, 1154, 1187, 1190, 1203, 1205, 1213, 1228, 1240, 1287, 1302, 1307, 1319, 1338, 1357, 1371, 1374, 1396, 1416, 1431, 1481, 1492]","[9, 13, 20, 30, 32, 36, 63, 84, 92, 123, 132, 137, 138, 146, 181, 194, 243, 268, 274, 307, 324, 331, 332, 348, 358, 362, 385, 392, 405, 419, 431, 454, 459, 476, 489, 493, 501, 537, 544, 556, 565, 582, 610, 621, 626, 630, 633, 646, 670, 683, 686, 688, 708, 716, 719, 729, 741, 755, 767, 785, 798, 819, 828, 835, 846, 847, 849, 876, 882, 886, 900, 912, 934, 945, 953, 958, 959, 981, 989, 994, 1002, 1012, 1016, 1032, 1034, 1035, 1046, 1049, 1085, 1087, 1095, 1101, 1106, 1145, 1154, 1160, 1187, 1190, 1192, 1203, 1205, 1213, 1228, 1240, 1246, 1252, 1287, 1294, 1302, 1307, 1308, 1310, 1311, 1319, 1338, 1357, 1368, 1371, 1374, 1396, 1416, 1431, 1437, 1443, 1472, 1481, 1492]"
